fighter_a,fighter_b,date,label,height_diff,reach_diff,age_diff,wins_diff,losses_diff,win_streak_diff,slpm_diff,sapm_diff,td_avg_diff,sub_avg_diff,kd_avg_diff,ctrl_avg_diff,ko_rate_diff,sub_rate_diff,southpaw_diff
Alex Oliveira,Piotr Hallmann,2015-11-07,1,2.0,5.0,-0.49281314168377577,0.0,-2.0,4.0,-2.7601586697821006,-1.5810900396674457,0.9787534641091118,0.9005053523881974,0.0,13.314698690430907,0.0,-0.5,0.0
Rashid Magomedov,Gilbert Burns,2015-11-07,1,-1.0,-1.0,1.6372347707049961,0.0,0.0,0.0,2.460114684011543,0.30461279638408545,-1.8603475664221962,-1.4215372300009386,1.0011123470522802,-14.908194759983058,0.3333333333333333,-0.6666666666666666,0.0
Corey Anderson,Fabio Maldonado,2015-11-07,1,2.0,4.0,-9.516769336071189,-2.0,-4.0,2.0,0.11020387427747735,-1.686128098352707,3.8067746772322693,-0.6203473945409429,-0.12406947890818859,17.85870103195021,-0.06666666666666671,0.0,0.0
Yan Cabral,Johnny Case,2015-11-07,0,1.0,1.0,6.127310061601641,-1.0,1.0,-2.0,-1.8846870446803432,-0.801464130329937,-0.7257192464094793,1.1396000548287362,-0.04150230737598809,10.106052990958332,-0.3333333333333333,0.16666666666666669,0.0
Thiago Tavares,Clay Guida,2015-11-07,1,0.0,0.0,-2.918548939082818,-3.0,-3.0,-2.0,-0.35416274564354366,-0.31930974843315596,0.679172766400546,0.6617833921266494,-0.2217841301133563,-1.26115150225856,0.027777777777777776,0.1111111111111111,0.0
Chas Skelly,Edimilson Souza,2015-11-07,1,-1.0,-2.0,-0.5639972621492149,0.0,1.0,0.0,-3.369334812769387,-1.4143768139457462,1.7619420516836333,2.8191072826938135,-0.2161523350833618,21.302424794372072,-0.3333333333333333,0.3333333333333333,0.0
Viscardi Andrade,Gasan Umalatov,2015-11-07,1,0.0,4.0,-1.4893908281998662,0.0,-1.0,0.0,0.035341365461847296,-1.0224899598393575,-0.09638554216867479,0.0,1.8072289156626504,1.828112449799196,1.0,0.0,0.0
Gleison Tibau,Abel Trujillo,2015-11-07,0,2.0,1.0,-0.05201916495550307,13.0,7.0,0.0,-1.0898980044881648,0.3384124702122966,1.3730704062000711,0.19067754377168955,-0.8470308946428949,9.618298182081773,-0.9375,0.25,1.0
Uriah Hall,Robert Whittaker,2015-11-14,0,0.0,6.0,6.387405886379195,0.0,1.0,-1.0,-1.6023815491509814,-1.6861004966105622,0.7107226700415293,0.39181541140618203,-0.7335394226509424,3.2429699742400784,-0.19999999999999996,0.0,0.0
Ronda Rousey,Holly Holm,2015-11-14,0,-1.0,-3.0,-5.29226557152635,4.0,0.0,4.0,1.0942442022911432,0.4152556580050293,5.535205364626991,3.7720033528918693,1.5088013411567478,33.84104498463258,0.5,0.5,-1.0
Valerie Letourneau,Joanna Jedrzejczyk,2015-11-14,0,1.0,3.0,4.30390143737166,-1.0,0.0,-1.0,-0.21325463394428912,2.354022988505747,1.0,0.6666666666666667,0.05374339857098476,6.089323806565186,-0.5,0.0,0.0
Mark Hunt,Antonio Silva,2015-11-14,1,-6.0,-10.0,5.478439425051334,2.0,0.0,-3.0,0.419055703026606,-1.8472172848536998,0.8409643057372453,0.16819286114744905,-0.7027749738510909,3.7941834824801504,-0.19999999999999996,0.0,0.0
Jared Rosholt,Stefan Struve,2015-11-14,1,-9.0,-9.0,1.5414099931553729,-5.0,-4.0,1.0,-1.3503015811223085,-2.8036375423296755,1.314675427694643,-2.646942408837475,-0.29925187032418954,21.13700073786794,-0.2,-0.4,0.0
Akbarh Arreola,Jake Matthews,2015-11-14,0,-1.0,-2.0,11.594798083504447,-1.0,1.0,0.0,-1.2126643604403204,1.9272925441616329,-2.185467707720655,-0.728489235906885,0.4707112970711297,-29.17345897713937,0.0,0.0,1.0
Anthony Perosh,Gian Villante,2015-11-14,0,0.0,-1.0,12.867898699520879,2.0,3.0,0.0,-2.2511782708492727,-3.529885233358836,0.9407995409334355,1.1476664116296864,0.2340665646518746,7.04666794185157,-0.2666666666666666,0.6,0.0
Danny Martinez,Richie Vaculik,2015-11-14,1,0.0,-2.0,-1.9876796714579044,-1.0,1.0,-2.0,-0.34253809611943975,-0.6642605959652044,-1.3316675920784755,-1.499167129372571,0.33333333333333337,-4.6686532173483855,0.0,0.0,0.0
Kyle Noke,Peter Sobotta,2015-11-14,1,1.0,1.0,6.817248459958929,3.0,0.0,-1.0,1.3227614740824762,-1.2980443187025876,-0.10402200526671046,0.1862733500274868,0.45056320400500627,-9.634203198795953,0.4,-0.09999999999999998,0.0
Diego Sanchez,Ricardo Lamas,2015-11-21,0,2.0,1.0,0.3860369609856207,8.0,5.0,2.0,0.36226604075009927,0.7262148130410799,-0.14090270654710646,-0.3324102136145789,-0.048717311822961185,-1.5168618635254099,0.023809523809523836,-0.3333333333333333,1.0
Neil Magny,Kelvin Gastelum,2015-11-21,1,6.0,9.0,4.224503764544835,3.0,2.0,0.0,0.1673923533675028,-0.8185401307540248,1.5525177322802959,-0.2807261711130115,-0.08642565297829648,3.046933950399918,0.16666666666666666,-0.2222222222222222,-1.0
Henry Cejudo,Jussier Formiga,2015-11-21,1,-1.0,-3.0,-1.8234086242299803,-1.0,-2.0,0.0,3.0036600590725007,-0.1580037148686091,-0.37973874120763673,0.08669041746597245,0.08669041746597245,4.290393106178254,0.0,-0.25,0.0
Leandro Silva,Efrain Escudero,2015-11-21,1,0.0,1.0,0.17796030116358708,-3.0,-3.0,0.0,-0.6726528174721667,-0.14179072644286128,1.176044021669581,-0.3992663055069744,-0.6302521008403362,2.5987714882907493,-0.2,0.3,0.0
Alejandro Perez,Scott Jorgensen,2015-11-21,1,1.0,1.0,-6.9596167008898036,-3.0,-6.0,1.0,-0.86183095607965,-1.3892811749752858,-1.4774131478604717,0.6832986160146872,-0.1271006919926564,-13.073127030080498,-0.25,-0.25,0.0
Andre Fili,Gabriel Benitez,2015-11-21,1,3.0,3.0,-2.026009582477755,0.0,2.0,-3.0,0.5050274302130386,0.6086219130194004,3.5745807590467784,-3.132236124811796,0.0,16.72253084817334,0.5,-0.5,-1.0
Michel Prazeres,Valmir Lazaro,2015-11-21,1,-6.0,-6.0,4.057494866529776,1.0,1.0,-2.0,-3.9833333333333334,-2.6,2.0,0.0,0.25,18.849999999999998,0.0,0.0,0.0
Taylor Lapilus,Erik Perez,2015-11-21,0,-2.0,5.0,-2.3846680355920604,-2.0,-2.0,3.0,1.6136317533301776,0.7336533910338765,-2.839441476773277,0.3737575224829265,-0.2784163905605518,-14.847623233484347,0.0,-0.25,1.0
Jorge Masvidal,Benson Henderson,2015-11-28,0,2.0,4.0,-0.9911019849418246,-4.0,-1.0,0.0,0.5412202209879338,0.7935138070231043,-0.18768433188542244,-0.08454590827369379,0.08963383173447068,-0.2576961250529415,0.16666666666666666,-0.033333333333333354,-1.0
Jake Collier,Dongi Yang,2015-11-28,0,5.0,5.0,-3.88227241615332,0.0,-2.0,3.0,0.6352114237780033,-0.1601121307610316,-0.14158436969455113,0.20301371719105732,-0.5476118040766657,-2.358247530583366,-1.0,0.0,-1.0
Elias Theodorou,Thiago Santos,2015-12-10,0,-1.0,-1.0,-4.396988364134156,0.0,-2.0,1.0,0.8734242346282484,-0.9763313609467452,3.550295857988166,0.0,-2.25752508361204,18.46668381785439,-0.33333333333333337,0.0,0.0
Paige VanZant,Rose Namajunas,2015-12-10,0,-1.0,0.0,-1.7385352498288853,2.0,-1.0,2.0,2.2809431882937408,-1.5885086268140407,0.9733124807016931,0.48665624035084654,0.0,32.375518073257005,0.3333333333333333,-0.6666666666666667,0.0
Jim Miller,Michael Chiesa,2015-12-10,0,-5.0,-4.0,4.271047227926076,9.0,3.0,0.0,0.13824302585631942,-0.1487660375877895,-0.9169772825361946,1.3991446619845413,-0.0071801310472005,-5.153217980408311,0.14285714285714285,-0.17142857142857143,0.0
John Howard,Tim Means,2015-12-10,0,-7.0,-3.0,0.9746748802190304,1.0,2.0,2.0,-1.7956194110025945,0.22568639573726346,1.582335805776847,0.1819338472493156,-0.4907327222809536,10.232823056982669,-0.047619047619047616,-0.16666666666666666,0.0
Johnny Eduardo,Aljamain Sterling,2015-12-10,0,0.0,0.0,10.992470910335385,-1.0,1.0,-1.0,-0.8133429404340844,1.4784083801672971,-3.657049979683056,-1.0295027073282055,0.43331728454501683,-35.00749389073299,0.16666666666666669,-0.3333333333333333,0.0
Zubaira Tukhugov,Phillipe Nover,2015-12-10,1,-1.0,-4.0,-6.948665297741275,1.0,-3.0,1.0,2.703330555765977,0.08282200843370435,0.37118400121202955,-1.3029315960912053,0.0,-8.995614810325817,0.5,0.0,0.0
Omari Akhmedov,Sergio Moraes,2015-12-10,0,0.0,1.0,-5.221081451060918,0.0,0.0,-1.0,0.9770260245060567,-0.17619465801447998,0.937204268186834,-0.11329264113283277,0.5334914048606995,2.286747742933267,0.6666666666666666,-0.6666666666666666,0.0
Chad Mendes,Frankie Edgar,2015-12-11,0,0.0,-2.0,-3.540041067761809,-5.0,-1.0,-5.0,-0.23902827718150466,0.5424652551845579,0.7180697624173384,0.00345119777837416,0.7836740379943781,1.0122720285567972,0.3942307692307692,-0.15384615384615385,0.0
Edson Barboza,Tony Ferguson,2015-12-11,0,0.0,-1.0,-1.94113620807666,1.0,2.0,-5.0,-0.040449551021075614,0.5876539260407774,-0.5808237954743672,-1.4412888981773477,0.3936519482217725,-1.5365604630011243,0.2777777777777778,-0.3333333333333333,0.0
Evan Dunham,Joe Lauzon,2015-12-11,1,0.0,-1.0,2.4257357973990388,-3.0,-1.0,1.0,2.6163190189669745,-1.2313954846644877,-0.6880882086848172,-1.678889878859645,-0.042979745809102576,-1.192023151573176,-0.1388888888888889,-0.47222222222222227,1.0
Ryan LaFlare,Mike Pierce,2015-12-11,1,5.0,3.0,-3.080082135523611,-5.0,-3.0,0.0,0.5514654642344743,-0.3833316253330601,0.3150491904078705,0.05895162943226062,-0.11751895880303348,-10.17652182824349,-0.3333333333333333,-0.1111111111111111,1.0
Conor McGregor,Jose Aldo,2015-12-12,1,2.0,4.0,-1.8453114305270368,-1.0,0.0,-1.0,2.5239145875904856,0.8438550767496169,0.7075310825006957,-0.3061571606758136,1.6260025645281366,3.724443267738751,0.5476190476190477,0.0,1.0
Chris Weidman,Luke Rockhold,2015-12-12,0,-1.0,1.0,0.33401779603011406,5.0,-1.0,5.0,0.2774736811793135,0.09408783418962985,3.0198911971433855,-2.383200109426782,-0.9176011537806233,7.530117561798535,0.19444444444444442,-0.5277777777777778,-1.0
Yoel Romero,Jacare Souza,2015-12-12,1,-1.0,1.0,2.6036960985626294,1.0,0.0,1.0,1.306051036090048,0.7149578639825711,-0.5495077094556939,-2.3407022106631987,0.5449478999544017,-27.414871734247544,0.6333333333333333,-0.6,1.0
Demian Maia,Gunnar Nelson,2015-12-12,1,2.0,0.0,10.724161533196437,10.0,5.0,2.0,-0.5000369039007095,-2.2491142516294116,1.5207582798883814,-0.03244148541595071,-0.18645230428175044,11.01578369977702,0.06666666666666667,-0.33333333333333337,1.0
Jeremy Stephens,Max Holloway,2015-12-12,0,-2.0,2.0,5.527720739219713,1.0,7.0,-6.0,-2.9289078494674827,-1.290304485052796,1.468827383877939,-0.003753963782728631,-0.051158031987988295,10.182787057645092,-0.04545454545454547,-0.2,0.0
John Makdessi,Yancy Medeiros,2015-12-12,0,-2.0,-7.0,2.3463381245722097,4.0,1.0,0.0,1.3728869610421075,0.21230956647434107,0.0,-2.2518765638031693,-0.043411942767015765,-7.898464813715971,0.5,-1.0,0.0
Colby Covington,Warlley Alves,2015-12-12,0,0.0,0.0,2.866529774127308,0.0,0.0,0.0,-0.5952367162069803,-2.0438564991254182,1.8904861746614623,-0.8496762310748666,-0.43352601156069365,14.788247014259735,0.3333333333333333,-0.3333333333333333,0.0
Kevin Lee,Leonardo Santos,2015-12-12,0,-3.0,2.0,-12.580424366872002,1.0,1.0,1.0,1.5284174649963158,-0.2194309927360769,1.4735103695125809,0.4984077271291717,0.0,6.586482787661861,0.0,-0.41666666666666663,0.0
Court McGee,Marcio Alexandre Junior,2015-12-12,1,-1.0,0.0,4.394250513347021,5.0,1.0,1.0,3.885332313605912,1.3049756407645972,1.5909932906570787,0.6816116328385338,0.0,4.3604074274561615,0.0,0.4,-1.0
Urijah Faber,Frankie Saenz,2015-12-12,1,0.0,1.0,1.2484599589322372,5.0,4.0,-4.0,-1.3005192107995844,0.13593390220777435,-1.354327509142625,0.3980766626032778,0.2742787484762292,-6.835523048444626,0.0,0.75,0.0
Charles Oliveira,Myles Jury,2015-12-19,1,0.0,1.0,-0.9609856262833674,2.0,4.0,0.0,0.864794423251714,1.5978944621657005,-0.5242606961790592,2.0937535924780963,-0.26185624873635127,-7.9206721549614,-0.3333333333333333,0.7083333333333334,0.0
Donald Cerrone,Rafael Dos Anjos,2015-12-19,0,5.0,3.0,1.5797399041752236,2.0,-2.0,4.0,1.7772476845371683,2.258272638036226,-1.5225974758180447,-0.20840098097758852,0.35387524549945626,-10.820546566617345,0.10256410256410253,0.11282051282051281,-1.0
Alistair Overeem,Junior Dos Santos,2015-12-19,1,0.0,3.0,3.7043121149897367,-7.0,1.0,1.0,0.26401701049195214,-1.632588408380674,0.050137458520817524,-0.10208711433756806,-0.10389931163350097,20.026793672612463,-0.2272727272727273,0.0,0.0
Nate Diaz,Michael Johnson,2015-12-19,1,2.0,3.0,1.1334702258726885,4.0,3.0,0.0,0.1802007648707482,0.376792454729896,0.45273608823937606,1.602787456445993,-0.5810208718945367,3.8494407486439775,-0.20833333333333334,0.6666666666666666,0.0
CB Dollaway,Nate Marquardt,2015-12-19,0,2.0,2.0,-4.306639288158799,-2.0,-1.0,0.0,0.041724796934876185,0.5792496751592062,1.108787722362624,-0.15358197236901905,-0.4204072824681734,4.283801206835747,-0.14141414141414144,-0.0505050505050505,0.0
Josh Samman,Tamdan McCrory,2015-12-19,0,-1.0,3.0,-1.3552361396303887,0.0,-3.0,4.0,1.2817513297059624,-0.2568082064313093,-1.729155745388531,-2.0124418643687005,1.640838650865998,-11.20449539175862,0.3333333333333333,0.0,0.0
Danny Castillo,Nik Lentz,2015-12-19,0,1.0,3.0,4.9691991786447645,-2.0,2.0,-2.0,-0.463195851626903,-0.6784368348004743,-1.1721498988252796,-0.9347151342318296,0.102265224049851,-0.6818475066714988,0.1746031746031746,-0.1111111111111111,0.0
Robbie Lawler,Carlos Condit,2016-01-02,1,-3.0,-1.0,2.102669404517453,4.0,0.0,3.0,-0.006909744522476391,1.0554391122440103,0.6860542007300986,-0.8988015978695073,0.1432934119496032,1.1103343821946794,-0.025974025974025983,0.0,1.0
Andrei Arlovski,Stipe Miocic,2016-01-02,0,-1.0,-3.0,3.537303216974678,7.0,2.0,6.0,-1.7248113603856394,-1.0387566748916317,-1.9197421890192932,0.5649717514124294,0.8617271416268257,-12.078471385624582,0.07142857142857151,0.14285714285714285,0.0
Lorenz Larkin,Albert Tumenov,2016-01-02,0,0.0,-1.0,5.311430527036276,-1.0,3.0,-2.0,-0.5889044530030607,-0.9609177386837269,-0.395778364116095,0.0,-1.5744883157500997,-1.762824635773053,-0.08333333333333337,0.0,0.0
Tony Sims,Abel Trujillo,2016-01-02,0,3.0,0.0,-2.072553045859003,-3.0,-1.0,-2.0,-1.0691421765712916,-1.3586404657254645,-2.7485578554462164,0.23586976056458075,-0.06952555670722116,-6.108595855089331,0.25,0.0,1.0
Michael McDonald,Masanori Kanehara,2016-01-02,1,2.0,3.0,-8.156057494866534,4.0,1.0,0.0,0.9342812006319119,1.0303317535545022,0.27962085308056883,0.06635071090047395,1.066350710900474,-18.632385466034755,0.4,0.2,0.0
Dustin Poirier,Joe Duffy,2016-01-02,1,-1.0,-1.0,-0.9199178644763855,8.0,3.0,0.0,0.1807289463655275,0.6580242312057392,1.650871293182513,-1.8440383109350333,-1.9816109187002426,19.302316329051898,-0.09999999999999998,-0.2,1.0
Michinori Tanaka,Joe Soto,2016-01-02,1,-1.0,2.0,-3.5373032169746743,1.0,-1.0,1.0,-1.1971468336812807,-6.206193458594294,3.0,0.5,0.0,32.06666666666667,0.0,0.0,0.0
Edgar Garcia,Sheldon Westcott,2016-01-02,0,-3.0,0.0,0.4928131416837793,0.0,1.0,-1.0,1.7824007350515294,-0.646037662460726,-0.39337362159233713,0.6612784717119765,0.0,-23.057320227163466,0.0,0.0,-1.0
Ben Saunders,Patrick Cote,2016-01-17,0,3.0,2.0,-3.1184120465434617,-2.0,-6.0,1.0,0.8495626333797492,-0.16623084423566414,-0.5608695223271389,1.3712593949731129,-0.01500023501335318,-1.7312553639621804,-0.047619047619047616,0.42857142857142855,0.0
TJ Dillashaw,Dominick Cruz,2016-01-17,0,-2.0,-1.0,-0.9171800136892543,5.0,2.0,1.0,2.3611838000784493,0.3712527547449356,-2.948492142489558,1.0855771006261752,0.6270903010033445,0.08800979853349844,0.2916666666666667,0.125,0.0
Anthony Pettis,Eddie Alvarez,2016-01-17,0,1.0,3.0,-3.0444900752908985,4.0,1.0,-2.0,-0.4347517730496455,-1.7836879432624118,-0.22340425531914887,0.6382978723404256,0.425531914893617,-1.5283687943262416,0.4,0.4,0.0
Matt Mitrione,Travis Browne,2016-01-17,0,-3.0,3.0,4.005475701574262,1.0,1.0,0.0,0.5810699684553633,-1.3282726042158477,-1.2768976117285409,0.374901151883237,0.5369860351450504,-7.207431264572851,0.13888888888888884,-0.125,0.0
Francisco Trinaldo,Ross Pearson,2016-01-17,1,1.0,1.0,6.091718001368928,-2.0,-3.0,3.0,-0.9290983027556337,-0.8148559137804092,0.14329893121713555,0.6472957422324511,-0.09837214903586733,9.290408898287945,-0.15000000000000002,0.25,1.0
Tim Boetsch,Ed Herman,2016-01-17,0,-1.0,-3.0,-0.3230663928815858,0.0,1.0,-1.0,-0.30667764800259123,0.28261863757569117,-1.4381470190682328,-0.4249950444036592,0.3157903754017135,-14.700004607479583,0.2222222222222222,-0.4444444444444444,0.0
Paul Felder,Daron Cruickshank,2016-01-17,1,3.0,-2.0,1.1279945242984262,-4.0,-3.0,0.0,0.7809562981540381,0.4491288275344627,-1.4359981039237364,-0.2651738361814967,-0.37530275919774947,-0.4363065835541926,0.0,0.0,0.0
Ilir Latifi,Sean O'Connell,2016-01-17,1,-3.0,-1.0,1.097878165639976,1.0,0.0,-1.0,-4.575008119316019,-2.4661511054421146,1.9466474405191059,0.37845954665863435,-0.27042293351440094,-12.757091421657254,-0.33333333333333337,0.3333333333333333,0.0
Ryan Bader,Anthony Johnson,2016-01-30,0,0.0,-4.0,0.7474332648870607,2.0,-1.0,4.0,-0.5489034662869967,-0.2036668947991953,0.8835274441637124,-0.27978579398813763,-1.1647266801422282,-0.4508879949304543,-0.5874125874125875,0.07692307692307693,0.0
Josh Barnett,Ben Rothwell,2016-01-30,0,-1.0,0.0,3.9342915811088304,1.0,-1.0,-2.0,1.563330224747547,-1.9048580465903302,-0.9169526886062318,0.09542076471210337,-0.5456048763135377,1.4490977089402293,0.06666666666666665,-0.033333333333333354,0.0
Iuri Alcantara,Jimmie Rivera,2016-01-30,0,5.0,3.0,8.90075290896646,5.0,3.0,-1.0,-4.418597829395514,-2.606992939061562,1.578734313857779,0.485764404263932,-0.667127909091492,11.322837544114664,-0.2142857142857143,0.0,1.0
Sage Northcutt,Bryan Barberena,2016-01-30,0,0.0,-1.0,-6.828199863107461,1.0,-1.0,3.0,-1.1890168943837587,-2.9050612904358823,6.204998068209757,2.2443890274314215,-0.5281690140845071,11.309051315373535,-0.5,0.5,-1.0
Tarec Saffiedine,Jake Ellenberger,2016-01-30,1,1.0,-1.0,-1.4428473648186149,-8.0,-5.0,0.0,2.112386547656066,2.3261186216438694,-1.9840199119673059,-0.024184441364838494,0.2540859210058958,-3.354829877328374,-0.4444444444444444,-0.1111111111111111,0.0
Olivier Aubin-Mercier,Diego Ferreira,2016-01-30,0,0.0,-4.0,-4.098562628336754,1.0,-1.0,5.0,-0.17836359513455902,-0.15086425599567033,3.3406998988976455,-1.0890114144181728,-0.2629037047059576,21.457540143397463,-0.5,0.16666666666666663,1.0
Kevin Casey,Rafael Natal,2016-01-30,0,-1.0,0.0,1.5277207392197099,-7.0,-3.0,-2.0,-0.6724367340663253,0.47908591404549394,-1.830715146947132,0.697147758655968,-0.37094281298299847,3.7312999760704404,0.0,-0.125,1.0
Dustin Ortiz,Wilson Reis,2016-01-30,0,1.0,0.0,-3.967145790554415,1.0,0.0,2.0,1.6482760285879854,0.7948030477402475,-1.236323436077154,-0.2988432189565028,0.0,1.3541867877148945,0.5,-0.3333333333333333,-1.0
Alexander Yakovlev,George Sullivan,2016-01-30,1,3.0,1.0,-3.348391512662559,-2.0,1.0,0.0,-1.6921006944444446,0.3229166666666665,-0.46484375,-0.87890625,0.33333333333333337,-9.948263888888889,-0.3333333333333333,0.0,1.0
Alex Caceres,Masio Fullen,2016-01-30,1,0.0,3.0,-1.7056810403833005,4.0,5.0,-2.0,1.2236448311604886,-0.06329370003691492,-0.6485789784328406,1.5031315240083507,0.12526096033402923,2.8759549427607887,0.0,0.4,1.0
Stephen Thompson,Johny Hendricks,2016-02-06,1,3.0,6.0,0.5831622176591367,-6.0,-2.0,4.0,0.9917466579245531,-0.4000038406777149,-3.0832343444374644,-0.47306176084099866,1.170988343543135,-9.764215308392705,0.24999999999999994,0.0,-1.0
Jared Rosholt,Roy Nelson,2016-02-06,0,2.0,2.0,-10.121834360027378,-1.0,-7.0,6.0,-0.15124059362241749,-3.8140589422206936,1.3239833916216988,0.06309486551470035,-0.8060002238889511,18.762647326052438,-0.8333333333333334,0.0,0.0
Rafael Cavalcante,Ovince Saint Preux,2016-02-06,0,-2.0,-6.0,2.98151950718686,-5.0,1.0,-1.0,0.036142357722306784,2.445166710767906,-1.1470813153199082,-0.45883252612796327,0.016854577466117016,-5.4961281626920755,0.33333333333333337,-0.16666666666666666,-1.0
Zach Makovsky,Joseph Benavidez,2016-02-06,0,0.0,-1.0,1.2840520191649603,-7.0,0.0,-5.0,-1.8809947393591582,-0.6677187948350072,2.0935437589670007,-0.230416068866571,-0.430416068866571,6.852147297943567,-0.3,-0.1,0.0
Joshua Burkman,KJ Noons,2016-02-06,1,0.0,2.0,2.6584531143052743,3.0,5.0,-4.0,-0.7918001690975265,-1.1096184802918514,2.9892975765776852,0.44285890023373115,-0.2217020122169601,19.035497215959857,-0.3,0.2,0.0
Ray Borg,Justin Scoggins,2016-02-06,0,-3.0,-3.0,-1.2566735112936342,0.0,-1.0,2.0,-2.100576802382921,-0.2529163885595882,0.04971060260407878,2.506550044331098,0.0,18.529588932832574,-0.3333333333333333,0.6666666666666666,-1.0
Sean Spencer,Mike Pyle,2016-02-06,0,-2.0,0.0,-11.767282683093772,-6.0,-3.0,1.0,2.0614489310192416,1.15234205038348,-1.6452173768995577,-1.5749091398573158,-0.1406164740844837,-8.037511719647185,-0.4444444444444444,-0.2222222222222222,0.0
Joe Riggs,Chris Camozzi,2016-02-21,0,-2.0,-5.0,4.158795345653662,-2.0,-1.0,0.0,-1.568518510287444,-1.3927385624691646,2.666701484112133,-0.09100687607508118,0.22601707684580613,12.292828791508692,0.2,0.05714285714285716,1.0
Alex Oliveira,Donald Cerrone,2016-02-21,0,-2.0,3.0,-4.90075290896646,-12.0,-3.0,4.0,-2.752645414565208,-2.8049725410783917,1.6750923175068242,0.44509270990453453,-0.33981418779322065,17.925770838547965,0.0,0.06666666666666665,0.0
Roan Carneiro,Derek Brunson,2016-02-21,0,-2.0,-1.0,5.590691307323752,-2.0,2.0,-2.0,-1.2570889306909372,-1.3850792022142417,0.8913336753500922,1.5037336829504644,-0.6289308176100629,7.354639710679159,-0.06666666666666671,0.1333333333333333,-1.0
Tatsuya Kawajiri,Dennis Bermudez,2016-02-21,0,1.0,3.0,8.59958932238193,-4.0,-2.0,4.0,-2.461820410857709,-1.0353865740376906,-0.03951401222828377,-0.9918111374817282,-0.7190795781399808,6.089527372176729,-0.14285714285714285,0.047619047619047616,0.0
James Krause,Shane Campbell,2016-02-21,1,2.0,2.0,0.6324435318275157,2.0,2.0,0.0,1.8868997724823369,1.2876261647341534,-0.9640071522947624,0.5447941888619854,0.0,-6.6590928925593005,0.3333333333333333,0.6666666666666666,0.0
Alex Garcia,Sean Strickland,2016-02-21,0,-4.0,-4.0,3.624914442162904,0.0,0.0,0.0,-1.5410652393278643,-0.2214056947308385,3.098319659544597,-0.9081735620585268,0.34944939235730266,9.64105207739218,0.3333333333333333,-0.3333333333333333,0.0
Michael Bisping,Anderson Silva,2016-02-27,1,-1.0,-2.0,-3.876796714579058,1.0,5.0,4.0,1.1450449127063536,0.7177353022578687,1.0311001095882681,-0.32709033663006104,-1.3927523387829135,1.4657467348484374,-0.15808823529411764,-0.1875,-1.0
Thales Leites,Gegard Mousasi,2016-02-27,0,-1.0,2.0,3.901437371663242,6.0,1.0,0.0,-0.7905344317916314,1.5335099196473017,1.3494758281610304,0.8096854968966182,0.17843175099805975,4.141384179356162,-0.04999999999999999,0.15000000000000002,0.0
Tom Breese,Keita Nakamura,2016-02-27,1,4.0,0.0,-7.345653661875428,1.0,-3.0,1.0,2.581766201566077,-1.843255619789756,-1.5711376200174572,-0.523712540005819,2.6067222426028764,-2.991385308218746,1.0,-1.0,0.0
Brad Pickett,Francisco Rivera,2016-02-27,1,-2.0,-2.0,3.0390143737166326,0.0,2.0,-2.0,-0.230915381536013,1.5716391598235844,1.022812166090026,-0.5955108703325034,-0.45413481001205097,10.815055923848924,-0.5,0.25,0.0
Mike Wilkinson,Makwan Amirkhani,2016-02-27,0,-3.0,-6.0,1.1498973305954827,0.0,1.0,-1.0,1.376392841074423,4.650847536855145,-3.896741321584874,-11.180124223602485,-4.743401716693058,-14.55134010739557,0.0,-0.5,-1.0
Chris Dempsey,Scott Askham,2016-02-27,0,-5.0,-3.0,0.6981519507186889,0.0,0.0,0.0,0.20195338231095494,0.955604777837284,2.4839006439742413,-0.4563894523326572,-1.3691683569979716,1.7766019582340444,-1.0,0.0,-1.0
Brad Scott,Krzysztof Jotko,2016-02-27,0,0.0,-1.0,0.15331964407939935,-1.0,1.0,-1.0,0.8212357939359336,2.2172145257601814,-0.4122507088953604,1.018483591097699,0.0,3.3710019690934327,0.0,1.0,-1.0
Norman Parke,Rustam Khabilov,2016-02-27,0,3.0,-3.0,-0.1314168377823428,2.0,0.0,3.0,1.7999183172628306,1.5844035927832687,-1.6815924858498477,-0.29382957884427036,-0.29382957884427036,7.3189188169865,-0.1333333333333333,0.0,1.0
Miesha Tate,Holly Holm,2016-03-05,1,-2.0,-4.0,-4.8350444900752905,1.0,2.0,1.0,-1.581747589577156,0.0657191024647239,0.4180192112327282,1.6093781045102324,-0.23803986785870043,17.828098330545956,-0.3333333333333333,0.0,-1.0
Gian Villante,Ilir Latifi,2016-03-05,0,5.0,3.0,-3.058179329226558,0.0,1.0,-1.0,2.6886681918197786,2.8457013718434503,-0.7883433024330957,-1.243953006219765,-0.8129185234611442,0.8713827260523166,0.0,-0.25,0.0
Tom Lawlor,Corey Anderson,2016-03-05,0,-3.0,-5.0,6.3572895277207415,2.0,3.0,0.0,-2.7997035613620134,-0.2470826168389353,-2.0082177363705815,1.6301066613000605,0.5433688871000202,-1.2954871182263972,0.08333333333333331,0.3333333333333333,1.0
Siyar Bahadurzada,Brandon Thatch,2016-03-05,1,-3.0,-1.0,1.2320328542094465,-1.0,0.0,0.0,-1.5094658910629295,-0.4960338445267052,-1.2866208355367528,0.0,-1.2866208355367528,1.3671073506081441,0.0,0.0,0.0
